paper,question,answer,reference_figure,reference_figure_caption,generated_answer
1608.02784v2,What is the relationship between BLEU score and human ranking for CCA and SMT systems?,The correlation between BLEU scores and human ranking is not high for either CCA or SMT systems.,1608.02784v2-Figure4-1.png,Figure 4: Scatter plot of SMT (statistical machine translation) and CCA BLEU scores versus human ratings.,The 1-keyword method resulted in the highest BLEU score of 0.705.
1611.02654v2,Which model performed the best on the SICK dataset according to the MSE metric?,The supervised model performed the best on the SICK dataset according to the MSE metric.,1611.02654v2-Table4-1.png,Performance comparison for semantic similarity and paraphrase detection. The first row shows the best performing purely supervised methods. The last section shows our models.,C-PHRASE
1611.02654v2,What is the effect of pre-training with the ordering task on the ROUGE-L score for extractive summarization?,Pre-training with the ordering task increases the ROUGE-L score for extractive summarization.,1611.02654v2-Table3-1.png,Comparison on extractive summarization between models trained from scratch and models pre-trained with the ordering task.,SkipThought
1611.02654v2,Which model performs the best for the order discrimination task on the Accidents dataset and how does it compare to the other data-driven approaches?,"The proposed model in this paper achieves the best performance for the order discrimination task on the Accidents dataset with an accuracy of 0.944. It outperforms the other data-driven approaches, namely Window (Recurrent) with 0.840, Window (Recursive) with 0.864, and Seq2seq with 0.930.",1611.02654v2-Table1-1.png,"Table 1: Mean Accuracy comparison on the Accidents and Earthquakes data for the order discrimination task. The reference models are Entity-Grid (Barzilay and Lapata 2008), HMM (Louis and Nenkova 2012), Graph (Guinaudeau and Strube 2013), Window network (Li and Hovy 2014) and sequence-to-sequence (Li and Jurafsky 2016), respectively.",SkipThought
1611.02654v2,What can you say about the relationship between the sentences in a document based on the t-SNE embeddings?,Sentences that are closer together in the embedding space are more semantically similar than those that are farther apart.,1611.02654v2-Figure2-1.png,t-SNE embeddings of representations learned by the model for sentences from the test set. Embeddings are color coded by the position of the sentence in the document it appears.,"The genre with the highest percentage of 'S' parses is **9/11**, with **99%** of its sentences receiving this parse. This is higher than the overall average for the MultiNLI corpus, which sits at **91%**."
1611.02654v2,How does the proposed model compare to the other models in terms of accuracy on the NIPS Abstracts dataset?,"The proposed model has the highest accuracy on the NIPS Abstracts dataset, with an accuracy of 51.55.",1611.02654v2-Table2-1.png,Comparison against prior methods on the abstracts data.,"When trained on the LDC2017T10 dataset, the proposed model achieves the highest BLEU scores on both Dev and Test sets compared to other models listed in the table. This suggests that incorporating syntax into the model significantly improves its performance in generating text from AMR representations."
1701.03077v10,How does the shape of the IRLS weight function change as the shape parameter α increases?,The IRLS weight function becomes more peaked and concentrated around zero as the shape parameter α increases.,1701.03077v10-Figure7-1.png,Our general loss’s IRLS weight function (left) and Ψfunction (right) for different values of the shape parameter α.,"The shape parameter α controls the shape of the loss function. As α increases, the loss function becomes more peaked, and as α decreases, the loss function becomes more flat."
1701.03077v10,"How do the reconstructed faces in the ""Mean Reconstruction"" differ from those in the ""Sampled Reconstruction""?","The reconstructed faces in the ""Mean Reconstruction"" are smoother and less detailed than those in the ""Sampled Reconstruction"". This is because the mean reconstruction is based on the average of all the possible reconstructions, while the sampled reconstruction is based on a single sample from the distribution.",1701.03077v10-Figure12-1.png,"As is common practice, the VAE samples shown in this paper are samples from the latent space (left) but not from the final conditional distribution (right). Here we contrast decoded means and samples from VAEs using our different output spaces, all using our general distribution.",The reconstructions are very similar to the original samples.
1701.03077v10,How does the performance of the adaptive model compare to the fixed model with different values of α?,The adaptive model consistently outperforms the fixed model for all values of α.,1701.03077v10-Figure9-1.png,Figure 9. Here we compare the validation set ELBO of our adaptive “Wavelets + YUV” VAE model with the ELBO achieved when setting all wavelet coefficients to have the same fixed shape parameter α. We see that allowing our distribution to individually adapt its shape parameter to each coefficient outperforms any single fixed shape parameter.,The accuracy of the model increased from 66.7% to 100% as the iterations progressed.
1701.03077v10,"On which dataset did the gRCC* algorithm achieve the largest relative improvement over the RCC algorithm, and by approximately how much did it improve?","The gRCC* algorithm achieved the largest relative improvement over the RCC algorithm on the YTF dataset, with a relative improvement of approximately 31.9%.",1701.03077v10-Table4-1.png,Table 4. Results on the clustering task of [32] where we compare their “RCC” algorithm to our “gRCC*” generalization in terms of AMI on several datasets. We also report the AMI increase of “gRCC*” with respect to “RCC”. Baselines are taken from [32].,The highest Recall@20 score was achieved by the GRU4Rec with additional samples and BPR-max loss function on the RSC15 dataset. This score was 42.37% higher than the Recall@20 score of the original GRU4Rec model on the same dataset.
1701.03077v10,What is the relationship between the shape parameter α and the shape of the loss function?,"The shape parameter α controls the shape of the loss function. As α increases, the loss function becomes more peaked, and as α decreases, the loss function becomes more flat.",1701.03077v10-Figure1-1.png,"Our general loss function (left) and its gradient (right) for different values of its shape parameter α. Several values of α reproduce existing loss functions: L2 loss (α = 2), Charbonnier loss (α = 1), Cauchy loss (α = 0), Geman-McClure loss (α = −2), and Welsch loss (α = −∞).","The ""adaptive $\power \in (0, 2)$"" strategy, where each wavelet coefficient has its own shape parameter that is optimized during training, achieved the best performance in terms of average error. It reduced the average error by approximately 17% compared to the reproduced baseline."
1701.03077v10,"What is the effect of replacing the loss function in the ""Baseline"" network with the ""adaptive"" loss over wavelet coefficients?","Replacing the loss function in the ""Baseline"" network with the ""adaptive"" loss over wavelet coefficients results in significantly improved depth estimates.",1701.03077v10-Figure4-1.png,Monocular depth estimation results on the KITTI benchmark using the “Baseline” network of [42]. Replacing only the network’s loss function with our “adaptive” loss over wavelet coefficients results in significantly improved depth estimates.,The training loss of DMRNet is lower than that of ResNet on the CIFAR-10 dataset with L = 30.
1701.03077v10,Which method for setting the shape parameter of the proposed loss function achieved the best performance in terms of average error? How much improvement did it offer compared to the reproduced baseline?,"The ""adaptive $\power \in (0, 2)$"" strategy, where each wavelet coefficient has its own shape parameter that is optimized during training, achieved the best performance in terms of average error. It reduced the average error by approximately 17% compared to the reproduced baseline.",1701.03077v10-Table2-1.png,"Table 2. Results on unsupervised monocular depth estimation using the KITTI dataset [13], building upon the model from [42] (“Baseline”). By replacing the per-pixel loss used by [42] with several variants of our own per-wavelet general loss function in which our loss’s shape parameters are fixed, annealed, or adaptive, we see a significant performance improvement. The top three techniques are colored red, orange, and yellow for each metric.","The shape parameter α controls the shape of the loss function. As α increases, the loss function becomes more peaked, and as α decreases, the loss function becomes more flat."
1701.03077v10,Why did the authors choose to use a nonlinearity to curve α before fitting the cubic hermite spline?,"The authors chose to use a nonlinearity to curve α before fitting the cubic hermite spline because it allows for increased knot density near α = 2 and decreased knot density when α > 4. This helps to better approximate the log partition function, which is difficult to evaluate for arbitrary inputs.",1701.03077v10-Figure8-1.png,"Because our distribution’s log partition function log(Z (α)) is difficult to evaluate for arbitrary inputs, we approximate it using cubic hermite spline interpolation in a transformed space: first we curve α by a continuously differentiable nonlinearity that increases knot density near α = 2 and decreases knot density when α > 4 (top) and then we fit an evenly-sampled cubic hermite spline in that curved space (bottom). The dots shown in the bottom plot are a subset of the knots used by our cubic spline, and are presented here to demonstrate how this approach allocates spline knots with respect to α.","The Hilbert space-filling curve is constructed recursively. The curve starts with a simple square, and then at each subsequent iteration, the curve is subdivided into four smaller squares. The curve is then drawn through each of these squares in a specific order."
1701.03077v10,What is the range of values for the shape parameter α?,The range of values for the shape parameter α is from 0 to 2.,1701.03077v10-Figure13-1.png,"The final shape parameters α for our unsupervised monocular depth estimation model trained on KITTI data. The parameters are visualized in the same “YUV + Wavelet” output space as was used during training, where black is α = 0 and white is α = 2.","The shape parameter α controls the shape of the loss function. As α increases, the loss function becomes more peaked, and as α decreases, the loss function becomes more flat."
1701.03077v10,How does the performance of gFGR change as the shape parameter α increases?,The performance of gFGR generally improves as the shape parameter α increases.,1701.03077v10-Figure5-1.png,"Performance (lower is better) of our gFGR algorithm on the task of [41] as we vary our shape parameter α, with the lowest-error point indicated by a circle. FGR (equivalent to gFGR with α = −2) is shown as a dashed line and a square, and shapeannealed gFGR for each noise level is shown as a dotted line.",The IRLS weight function becomes more peaked and concentrated around zero as the shape parameter α increases.
1701.03077v10,Which image representation results in the sharpest and highest-quality samples?,DCT and wavelet representations.,1701.03077v10-Figure3-1.png,"Random samples from our variational autoencoders. We use either normal, Cauchy, Student’s t, or our general distributions (columns) to model the coefficients of three different image representations (rows). Because our distribution can adaptively interpolate between Cauchy-like or normal-like behavior for each coefficient individually, using it results in sharper and higher-quality samples (particularly when using DCT or wavelet representations) and does a better job of capturing low-frequency image content than Student’s t-distribution.","The presence of noise in the input image can degrade the quality of the generated images, but the proposed algorithm is still able to generate realistic images even with a certain amount of noise."
1701.03077v10,Which dataset shows the greatest sensitivity to the choice of $\power$?,RCV1,1701.03077v10-Figure6-1.png,"Figure 6. Performance (higher is better) of our gRCC algorithm on the clustering task of [32], for different values of our shape parameter α, with the highest-accuracy point indicated by a dot. Because the baseline RCC algorithm is equivalent to gRCC with α = −2, we highlight that α value with a dashed line and a square.",The NYT Sports dataset has the highest value for λa (0.9).
1701.03077v10,How does the shape of the negative log-likelihood (NLL) and probability density functions change as the value of α increases?," As the value of α increases, the NLL functions become more peaked and the probability density functions become more concentrated around the mean.",1701.03077v10-Figure2-1.png,The negative log-likelihoods (left) and probability densities (right) of the distribution corresponding to our loss function when it is defined (α ≥ 0). NLLs are simply losses (Fig. 1) shifted by a log partition function. Densities are bounded by a scaled Cauchy distribution.,The IRLS weight function becomes more peaked and concentrated around zero as the shape parameter α increases.
1701.03077v10,How do the results of the baseline and the proposed method compare in terms of accuracy?,The proposed method appears to be more accurate than the baseline method. The depth maps generated by the proposed method are more detailed and realistic than those generated by the baseline method.,1701.03077v10-Figure17-1.png,"Additional monocular depth estimation results, in the same format as Figure 16.",UnCoRd-VG-E
1701.03077v10,How does the choice of distribution affect the quality of the reconstructions?,Reconstructions from models using general distributions tend to be sharper and more detailed than reconstructions from the corresponding model that uses normal distributions.,1701.03077v10-Figure15-1.png,"Reconstructions from our family of trained variational autoencoders, in which we use one of three different image representations for modeling images (super-columns) and use either normal, Cauchy, Student’s t, or our general distributions for modeling the coefficients of each representation (sub-columns). The leftmost column shows the images which are used as input to each autoencoder. Reconstructions from models using general distributions tend to be sharper and more detailed than reconstructions from the corresponding model that uses normal distributions, particularly for the DCT or wavelet representations, though this difference is less pronounced than what is seen when comparing samples from these models. The DCT and wavelet models trained with Cauchy distributions or Student’s t-distributions systematically fail to preserve the background of the input image, as was noted when observing samples from these distributions.",The reconstructions are very similar to the original samples.
1802.07222v1,During which hours of the day did the most network-related reboots occur?,The most network-related reboots occurred between 18:00 and 20:00.,1802.07222v1-Figure14-1.png,Number of network related reboots in a day.,ReLU
1603.00286v5,Which agent values the entire share $Z_j$?,Agent $j$.,1603.00286v5-Figure3-1.png,"Fig. 3 Solid boxes represent the value-density of agent j within Zj ; each dotted box represents a value-density of some other agent in the same group as agent j. In this example, dn d e = 5.",The attribute vector $z$ provides additional information about the desired attributes of the generated high-resolution face image $\hat{X}$. This information is used by the generator networks $G_{X \to Y}$ and $G_{Y \to X}$ to generate images that are more consistent with the desired attributes.
1603.00286v5,What is the purpose of the blank space labeled Z'5?,The blank space labeled Z'5 is used to complete the allocation of the original pieces.,1603.00286v5-Figure4-1.png,"Fig. 4 Allocation-completion with n = 4 original pieces and b = 1 blank, denoted Z′5.",The Cholesky Block is used to distinguish abnormal patterns from normal patterns.
1603.00286v5,What can you say about the relationship between the complexity of a cake shape and the minimum number of blanks required for a complete partition into smaller pieces?,The complexity of the cake shape generally leads to a higher minimum number of blanks required for a complete partition.,1603.00286v5-Table1-1.png,Table 1 Worst-case number of blanks in a maximal arrangement of pairwise-disjoint Spieces contained in a cake C. From Akopyan and Segal-Halevi (2018).,O(n^3 / ε)
1603.00286v5," 

Why does the author state that there is a qualitative difference between 2-D and 1-D division?"," 

In 2-D division, there may be unallocated cake even when there are geometric constraints on the pieces, as shown in Figure 1. This is not the case in 1-D division, where the entire cake can always be allocated.",1603.00286v5-Figure1-1.png,"Fig. 1 With geometric constraints, an efficient allocation might leave some cake unallocated. All figures were made with GeoGebra 5 (Hohenwarter et al., 2013).",The second-stage decoder $D_2$ takes soft edges $x_G$ as input and produces reconstructed frames.
1603.00286v5,What is the minimum number of sides that a rectilinear polygon with four reflex vertices must have?,Six.,1603.00286v5-Figure2-1.png,Fig. 2 A rectilinear polygon with T = 4 reflex vertices (circled).,DMRNet
1603.03833v4,What is the role of the LSTM-MDN network in the training phase?,"The LSTM-MDN network is used to learn the relationship between the gripper pose and status, the pose of relevant objects, and the joint angles of the robot arm.",1603.03833v4-Figure3-1.png,"Figure 3: The training and evaluation phase. During the training the LSTM network is unrolled for 50 time-steps. The gripper pose and status (open/close) et and the pose of relevant objects qt at time-step t is used as input and output of the network to calculate and backpropagate the error to update the weights. During the evaluation phase, the mixture density parameters are used to form a mixture of Gaussians and draw a sample from it. The sample is used to control the robot arm.",The LSTM network is used to process the post text and generate a post text embedding.
1603.03833v4,"Why is the number of demonstrations after the shift not available for the ""Push to Pose"" task?","The passage mentions that additional trajectories were generated for the ""Pick and Place"" task by reducing the frequency of the recorded demonstrations. This process was not applied to the ""Push to Pose"" task, therefore no ""Demonstrations after shift"" are listed for it.",1603.03833v4-Table1-1.png,Table 1: The size of the datasets for the two studied tasks,"The proposed method outperforms the baselines for the action ""<person, move toward (home), walkway>"" because it is better at modeling moving directions."
1603.03833v4,How does the frequency reduction process create multiple trajectories from a single demonstration?," The frequency reduction process takes a high-frequency trajectory and samples it at a lower frequency, resulting in multiple trajectories with different starting and ending points. ",1603.03833v4-Figure2-1.png,Figure 2: Creating multiple trajectories from a demonstration recorded at a higher frequency.,The Multi-DPP module increases diversity within the selected time-steps by using a determinantal point process (DPP) to select a subset of diverse time-steps from the input sequence.
1603.03833v4,What is the role of the virtual environment in the proposed approach?,The virtual environment is used to collect demonstrations of the task from the user. This allows for safe and efficient data collection.,1603.03833v4-Figure1-1.png,Figure 1: The general flow of our approach. The demonstrations of the ADL manipulation tasks are collected in a virtual environment. The collected trajectories are used to train the neural network controller.,Intra-warrant attention with context.
